ticks,wealth,populationPercent,indiWealthPercent,wealthPercent
0,0,0,0,0
0,16,2.0,0.39177275,0.39177275
0,20,4.0,0.48971596,0.8814887
0,22,6.0,0.5386875,1.4201763
0,27,8.0,0.66111654,2.0812929
0,29,10.0,0.71008813,2.791381
0,36,12.0,0.88148874,3.6728697
0,38,14.0,0.93046033,4.60333
0,41,16.0,1.0039178,5.607248
0,43,18.0,1.0528893,6.660137
0,51,20.0,1.2487757,7.9089127
0,51,22.0,1.2487757,9.157688
0,51,24.0,1.2487757,10.406464
0,52,26.0,1.2732614,11.679725
0,55,28.0,1.3467189,13.0264435
0,58,30.000002,1.4201763,14.44662
0,58,32.0,1.4201763,15.8667965
0,59,34.0,1.4446621,17.311459
0,63,36.0,1.5426053,18.854063
0,67,38.0,1.6405486,20.494612
0,68,40.0,1.6650343,22.159645
0,69,42.0,1.6895201,23.849165
0,69,44.0,1.6895201,25.538685
0,75,46.0,1.836435,27.37512
0,80,48.0,1.9588639,29.333984
0,84,50.0,2.056807,31.39079
0,94,52.0,2.301665,33.692455
0,95,54.000004,2.326151,36.01861
0,95,56.0,2.326151,38.344757
0,96,58.0,2.3506365,40.695393
0,102,60.000004,2.4975514,43.192944
0,102,62.0,2.4975514,45.690495
0,103,64.0,2.5220373,48.212532
0,104,66.0,2.5465229,50.759056
0,104,68.0,2.5465229,53.30558
0,107,70.0,2.6199806,55.92556
0,109,72.0,2.668952,58.594513
0,109,74.0,2.668952,61.263466
0,111,76.0,2.7179236,63.981388
0,113,78.0,2.766895,66.74828
0,113,80.0,2.766895,69.515175
0,114,82.0,2.7913811,72.30656
0,115,84.0,2.815867,75.12242
0,118,86.0,2.8893242,78.01175
0,121,88.0,2.9627817,80.97453
0,122,90.0,2.9872675,83.9618
0,125,92.0,3.0607247,87.02252
0,128,94.0,3.134182,90.15671
0,131,96.0,3.2076397,93.36435
0,135,98.0,3.3055828,96.66993
0,136,100.0,3.3300686,100.0
20,0,0,0,0
20,0,2.0,0.0,0.0
20,1,4.0,0.04496403,0.04496403
20,2,6.0,0.08992806,0.13489209
20,3,8.0,0.13489209,0.26978418
20,3,10.0,0.13489209,0.40467626
20,6,12.0,0.26978418,0.6744604
20,7,14.0,0.3147482,0.9892086
20,10,16.0,0.4496403,1.4388489
20,10,18.0,0.4496403,1.8884891
20,13,20.0,0.5845324,2.4730215
20,14,22.0,0.6294964,3.1025178
20,14,24.0,0.6294964,3.7320142
20,16,26.0,0.7194245,4.451439
20,17,28.0,0.7643885,5.2158275
20,17,30.000002,0.7643885,5.980216
20,18,32.0,0.80935246,6.7895684
20,18,34.0,0.80935246,7.598921
20,19,36.0,0.85431653,8.453238
20,21,38.0,0.94424456,9.397482
20,21,40.0,0.94424456,10.341726
20,22,42.0,0.98920864,11.330935
20,24,44.0,1.0791367,12.410071
20,28,46.0,1.2589928,13.6690645
20,28,48.0,1.2589928,14.928058
20,29,50.0,1.3039569,16.232014
20,35,52.0,1.5737411,17.805756
20,37,54.000004,1.663669,19.469425
20,38,56.0,1.7086331,21.178059
20,39,58.0,1.7535971,22.931656
20,41,60.000004,1.843525,24.77518
20,46,62.0,2.0683453,26.843527
20,47,64.0,2.1133094,28.956837
20,48,66.0,2.1582735,31.11511
20,50,68.0,2.2482016,33.36331
20,51,70.0,2.2931654,35.65648
20,52,72.0,2.3381295,37.99461
20,52,74.0,2.3381295,40.33274
20,78,76.0,3.5071943,43.839935
20,80,78.0,3.5971224,47.437057
20,80,80.0,3.5971224,51.03418
20,83,82.0,3.7320144,54.766193
20,97,84.0,4.3615108,59.127705
20,98,86.0,4.406475,63.53418
20,98,88.0,4.406475,67.94066
20,104,90.0,4.676259,72.61692
20,113,92.0,5.0809355,77.69785
20,117,94.0,5.2607913,82.95864
20,122,96.0,5.4856114,88.44425
20,123,98.0,5.5305758,93.97483
20,134,100.0,6.02518,100.0
40,0,0,0,0
40,2,2.0,0.10235415,0.10235415
40,3,4.0,0.15353121,0.25588536
40,6,6.0,0.30706242,0.56294775
40,7,8.0,0.3582395,0.9211873
40,8,10.0,0.4094166,1.3306038
40,8,12.0,0.4094166,1.7400204
40,8,14.0,0.4094166,2.149437
40,10,16.0,0.5117707,2.6612077
40,10,18.0,0.5117707,3.1729784
40,12,20.0,0.61412483,3.7871032
40,13,22.0,0.6653019,4.452405
40,14,24.0,0.716479,5.168884
40,14,26.0,0.716479,5.8853626
40,14,28.0,0.716479,6.6018414
40,16,30.000002,0.8188332,7.420675
40,18,32.0,0.9211873,8.341862
40,19,34.0,0.97236437,9.314226
40,21,36.0,1.0747185,10.388945
40,24,38.0,1.2282497,11.617194
40,24,40.0,1.2282497,12.845444
40,25,42.0,1.2794268,14.12487
40,25,44.0,1.2794268,15.404297
40,29,46.0,1.484135,16.888432
40,29,48.0,1.484135,18.372566
40,32,50.0,1.6376663,20.010233
40,32,52.0,1.6376663,21.6479
40,33,54.000004,1.6888434,23.336742
40,33,56.0,1.6888434,25.025585
40,34,58.0,1.7400205,26.765606
40,38,60.000004,1.9447287,28.710335
40,40,62.0,2.047083,30.757418
40,40,64.0,2.047083,32.8045
40,40,66.0,2.047083,34.851585
40,40,68.0,2.047083,36.898666
40,41,70.0,2.09826,38.996925
40,41,72.0,2.09826,41.095184
40,41,74.0,2.09826,43.193443
40,43,76.0,2.2006142,45.39406
40,47,78.0,2.4053223,47.79938
40,55,80.0,2.814739,50.61412
40,58,82.0,2.96827,53.58239
40,79,84.0,4.042989,57.625378
40,81,86.0,4.145343,61.77072
40,89,88.0,4.5547595,66.32548
40,89,90.0,4.5547595,70.88023
40,99,92.0,5.06653,75.94676
40,104,94.0,5.3224154,81.26918
40,118,96.0,6.0388947,87.308075
40,119,98.0,6.0900717,93.39815
40,129,100.0,6.6018424,100.0
60,0,0,0,0
60,0,2.0,0.0,0.0
60,1,4.0,0.046926327,0.046926327
60,1,6.0,0.046926327,0.093852654
60,1,8.0,0.046926327,0.14077899
60,2,10.0,0.093852654,0.23463164
60,2,12.0,0.093852654,0.3284843
60,2,14.0,0.093852654,0.42233694
60,3,16.0,0.14077897,0.5631159
60,3,18.0,0.14077897,0.70389485
60,4,20.0,0.18770531,0.89160013
60,5,22.0,0.23463163,1.1262318
60,10,24.0,0.46926326,1.595495
60,11,26.0,0.5161896,2.1116846
60,12,28.0,0.5631159,2.6748004
60,13,30.000002,0.6100422,3.2848425
60,14,32.0,0.65696853,3.941811
60,14,34.0,0.65696853,4.5987797
60,15,36.0,0.7038949,5.302675
60,16,38.0,0.75082123,6.053496
60,22,40.0,1.0323792,7.085875
60,23,42.0,1.0793054,8.16518
60,27,44.0,1.2670108,9.432191
60,27,46.0,1.2670108,10.699202
60,29,48.0,1.3608634,12.060065
60,30,50.0,1.4077898,13.467855
60,34,52.0,1.5954951,15.063351
60,36,54.000004,1.6893479,16.752699
60,40,56.0,1.877053,18.629751
60,41,58.0,1.9239793,20.55373
60,42,60.000004,1.9709057,22.524635
60,46,62.0,2.1586108,24.683247
60,50,64.0,2.3463163,27.029564
60,52,66.0,2.4401689,29.469732
60,55,68.0,2.5809479,32.050682
60,63,70.0,2.9563584,35.007042
60,65,72.0,3.0502112,38.057255
60,70,74.0,3.284843,41.3421
60,71,76.0,3.3317692,44.673866
60,76,78.0,3.5664008,48.24027
60,78,80.0,3.6602535,51.90052
60,86,82.0,4.035664,55.936184
60,86,84.0,4.035664,59.971848
60,87,86.0,4.08259,64.054436
60,89,88.0,4.176443,68.23088
60,105,90.0,4.927264,73.15814
60,108,92.0,5.068043,78.22619
60,110,94.0,5.1618958,83.388084
60,116,96.0,5.443454,88.831535
60,118,98.0,5.5373063,94.36884
60,120,100.0,5.6311593,100.0
80,0,0,0,0
80,0,2.0,0.0,0.0
80,2,4.0,0.10219724,0.10219724
80,4,6.0,0.20439447,0.30659172
80,4,8.0,0.20439447,0.5109862
80,8,10.0,0.40878895,0.9197751
80,9,12.0,0.4598876,1.3796628
80,14,14.0,0.71538067,2.0950434
80,15,16.0,0.7664793,2.8615227
80,15,18.0,0.7664793,3.628002
80,18,20.0,0.9197752,4.547777
80,19,22.0,0.9708738,5.518651
80,20,24.0,1.0219724,6.5406237
80,21,26.0,1.073071,7.6136947
80,23,28.0,1.1752683,8.788963
80,23,30.000002,1.1752683,9.9642315
80,23,32.0,1.1752683,11.1395
80,24,34.0,1.2263669,12.365867
80,25,36.0,1.2774655,13.6433325
80,26,38.0,1.3285642,14.971897
80,27,40.0,1.3796628,16.35156
80,28,42.0,1.4307613,17.782322
80,29,44.0,1.4818599,19.264181
80,29,46.0,1.4818599,20.74604
80,29,48.0,1.4818599,22.2279
80,30,50.0,1.5329586,23.760859
80,31,52.0,1.5840571,25.344915
80,32,54.000004,1.6351558,26.980072
80,33,56.0,1.6862545,28.666327
80,35,58.0,1.7884517,30.454779
80,35,60.000004,1.7884517,32.24323
80,37,62.0,1.8906488,34.133877
80,38,64.0,1.9417475,36.075623
80,41,66.0,2.0950434,38.170666
80,42,68.0,2.146142,40.316807
80,43,70.0,2.1972406,42.514046
80,44,72.0,2.2483394,44.762386
80,51,74.0,2.6060295,47.368416
80,52,76.0,2.6571283,50.025543
80,58,78.0,2.9637198,52.98926
80,62,80.0,3.1681142,56.157375
80,70,82.0,3.5769033,59.73428
80,74,84.0,3.7812977,63.51558
80,77,86.0,3.934594,67.45017
80,78,88.0,3.9856925,71.43587
80,79,90.0,4.036791,75.47266
80,83,92.0,4.2411857,79.713844
80,83,94.0,4.2411857,83.95503
80,96,96.0,4.9054675,88.8605
80,107,98.0,5.467552,94.32805
80,111,100.0,5.6719465,100.0
