ticks,low,mid,up
0,9,16,25
1,21,27,2
2,19,19,12
3,25,22,3
4,27,15,8
5,24,18,8
6,24,19,7
7,17,26,7
8,22,19,9
9,31,11,8
10,23,18,9
11,29,13,8
12,21,19,10
13,25,13,12
14,27,13,10
15,19,22,9
16,27,13,10
17,35,10,5
18,24,17,9
19,32,11,7
20,30,11,9
21,34,11,5
22,26,14,10
23,26,19,5
24,32,11,7
25,24,17,9
26,31,11,8
27,28,16,6
28,31,10,9
29,26,14,10
30,28,8,14
31,31,11,8
32,26,17,7
33,34,11,5
34,31,14,5
35,32,11,7
36,25,15,10
37,36,9,5
38,26,18,6
39,29,13,8
40,37,6,7
41,34,9,7
42,29,14,7
43,33,8,9
44,30,13,7
45,36,10,4
46,31,12,7
47,32,15,3
48,39,7,4
49,36,9,5
50,39,3,8
51,27,12,11
52,33,9,8
53,31,12,7
54,28,14,8
55,36,8,6
56,29,10,11
57,34,8,8
58,24,12,14
59,34,8,8
60,27,13,10
61,32,12,6
62,28,15,7
63,26,17,7
64,32,12,6
65,32,11,7
66,34,10,6
67,28,9,13
68,29,13,8
69,34,5,11
70,29,12,9
71,34,10,6
72,36,7,7
73,30,11,9
74,39,4,7
75,23,10,17
76,35,6,9
77,32,11,7
78,29,13,8
79,29,13,8
80,30,11,9
81,34,9,7
82,30,15,5
83,37,8,5
84,31,10,9
85,33,9,8
86,38,9,3
87,29,11,10
88,33,13,4
89,34,10,6
90,39,5,6
91,38,7,5
92,30,10,10
93,29,18,3
94,32,10,8
95,32,13,5
96,31,14,5
97,36,8,6
98,32,12,6
99,33,8,9
